date,authority,alpha_3,alpha_2,population_2018,cases,deaths
2020-04-27,Afghanistan,AFG,AF,37172386.0,68,21
2020-04-26,Afghanistan,AFG,AF,37172386.0,112,4
2020-04-25,Afghanistan,AFG,AF,37172386.0,70,1
2020-04-24,Afghanistan,AFG,AF,37172386.0,105,2
2020-04-23,Afghanistan,AFG,AF,37172386.0,84,4
2020-04-22,Afghanistan,AFG,AF,37172386.0,61,1
2020-04-21,Afghanistan,AFG,AF,37172386.0,35,2
2020-04-20,Afghanistan,AFG,AF,37172386.0,88,3
2020-04-19,Afghanistan,AFG,AF,37172386.0,63,0
2020-04-18,Afghanistan,AFG,AF,37172386.0,51,1
2020-04-17,Afghanistan,AFG,AF,37172386.0,10,4
2020-04-16,Afghanistan,AFG,AF,37172386.0,70,2
2020-04-15,Afghanistan,AFG,AF,37172386.0,49,2
2020-04-14,Afghanistan,AFG,AF,37172386.0,58,3
2020-04-13,Afghanistan,AFG,AF,37172386.0,52,0
2020-04-12,Afghanistan,AFG,AF,37172386.0,34,3
2020-04-11,Afghanistan,AFG,AF,37172386.0,37,0
2020-04-10,Afghanistan,AFG,AF,37172386.0,61,1
2020-04-09,Afghanistan,AFG,AF,37172386.0,56,3
2020-04-08,Afghanistan,AFG,AF,37172386.0,30,4
2020-04-07,Afghanistan,AFG,AF,37172386.0,38,0
2020-04-06,Afghanistan,AFG,AF,37172386.0,29,2
2020-04-05,Afghanistan,AFG,AF,37172386.0,35,1
2020-04-04,Afghanistan,AFG,AF,37172386.0,0,0
2020-04-03,Afghanistan,AFG,AF,37172386.0,43,0
2020-04-02,Afghanistan,AFG,AF,37172386.0,26,0
2020-04-01,Afghanistan,AFG,AF,37172386.0,25,0
2020-03-31,Afghanistan,AFG,AF,37172386.0,27,0
2020-03-30,Afghanistan,AFG,AF,37172386.0,8,1
2020-03-29,Afghanistan,AFG,AF,37172386.0,15,1
2020-03-28,Afghanistan,AFG,AF,37172386.0,16,1
2020-03-27,Afghanistan,AFG,AF,37172386.0,0,0
2020-03-26,Afghanistan,AFG,AF,37172386.0,33,0
2020-03-25,Afghanistan,AFG,AF,37172386.0,2,0
2020-03-24,Afghanistan,AFG,AF,37172386.0,6,1
2020-03-23,Afghanistan,AFG,AF,37172386.0,10,0
2020-03-22,Afghanistan,AFG,AF,37172386.0,0,0
2020-03-21,Afghanistan,AFG,AF,37172386.0,2,0
2020-03-20,Afghanistan,AFG,AF,37172386.0,0,0
2020-03-19,Afghanistan,AFG,AF,37172386.0,0,0
2020-03-18,Afghanistan,AFG,AF,37172386.0,1,0
2020-03-17,Afghanistan,AFG,AF,37172386.0,5,0
2020-03-16,Afghanistan,AFG,AF,37172386.0,6,0
2020-03-15,Afghanistan,AFG,AF,37172386.0,3,0
2020-03-11,Afghanistan,AFG,AF,37172386.0,3,0
2020-03-08,Afghanistan,AFG,AF,37172386.0,3,0
2020-03-02,Afghanistan,AFG,AF,37172386.0,0,0
2020-03-01,Afghanistan,AFG,AF,37172386.0,0,0
2020-02-29,Afghanistan,AFG,AF,37172386.0,0,0
2020-02-28,Afghanistan,AFG,AF,37172386.0,0,0
2020-02-27,Afghanistan,AFG,AF,37172386.0,0,0
2020-02-26,Afghanistan,AFG,AF,37172386.0,0,0
2020-02-25,Afghanistan,AFG,AF,37172386.0,1,0
2020-02-24,Afghanistan,AFG,AF,37172386.0,0,0
2020-02-23,Afghanistan,AFG,AF,37172386.0,0,0
2020-02-22,Afghanistan,AFG,AF,37172386.0,0,0
2020-02-21,Afghanistan,AFG,AF,37172386.0,0,0
2020-02-20,Afghanistan,AFG,AF,37172386.0,0,0
2020-02-19,Afghanistan,AFG,AF,37172386.0,0,0
2020-02-18,Afghanistan,AFG,AF,37172386.0,0,0
2020-02-17,Afghanistan,AFG,AF,37172386.0,0,0
2020-02-16,Afghanistan,AFG,AF,37172386.0,0,0
2020-02-15,Afghanistan,AFG,AF,37172386.0,0,0
2020-02-14,Afghanistan,AFG,AF,37172386.0,0,0
2020-02-13,Afghanistan,AFG,AF,37172386.0,0,0
2020-02-12,Afghanistan,AFG,AF,37172386.0,0,0
2020-02-11,Afghanistan,AFG,AF,37172386.0,0,0
2020-02-10,Afghanistan,AFG,AF,37172386.0,0,0
2020-02-09,Afghanistan,AFG,AF,37172386.0,0,0
2020-02-08,Afghanistan,AFG,AF,37172386.0,0,0
2020-02-07,Afghanistan,AFG,AF,37172386.0,0,0
2020-02-06,Afghanistan,AFG,AF,37172386.0,0,0
2020-02-05,Afghanistan,AFG,AF,37172386.0,0,0
2020-02-04,Afghanistan,AFG,AF,37172386.0,0,0
2020-02-03,Afghanistan,AFG,AF,37172386.0,0,0
2020-02-02,Afghanistan,AFG,AF,37172386.0,0,0
2020-02-01,Afghanistan,AFG,AF,37172386.0,0,0
